id_libro,titulo,descripcion,portada_url,stock,ISBN,id_editorial
1,Guia Practica de Talento Humano,"Un texto practico que aborda los principios de Talento Humano, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00001.jpg,1,978-1-151-86449-9,10
2,Salvaje Cielo,Un relato profundo sobre las relaciones humanas y el paso del tiempo. El autor construye un mundo lleno de detalles y matices inolvidables. Una historia que atrapa desde la primera pagina.,https://covers.biblioteca.local/00002.jpg,3,978-1-192-54629-3,17
3,Conceptos Clave de Edicion de Video,"Un texto practico que aborda los principios de Edicion de Video, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00003.jpg,1,978-1-86528-168-1,7
4,Conceptos Clave de Desarrollo Web,"Un texto riguroso que aborda los principios de Desarrollo Web, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00004.jpg,2,978-0-542-35733-6,30
5,Guia Practica de Agroecologia,"Un texto riguroso que aborda los principios de Agroecologia, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00005.jpg,1,978-0-14-188805-7,20
6,Principios de Contabilidad Publica,"Un texto completo que aborda los principios de Contabilidad Publica, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00006.jpg,1,978-1-222-92706-1,25
7,Puente infinito,El autor construye un mundo lleno de detalles y matices inolvidables. La narracion se despliega entre distintos escenarios y epocas.,https://covers.biblioteca.local/00007.jpg,3,978-0-7947-3834-1,7
8,Manual de Ingenieria de Software,"Un texto aplicado que aborda los principios de Ingenieria de Software, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00008.jpg,1,978-0-597-74688-8,29
9,Principios de Liderazgo Organizacional,"Un texto actualizado que aborda los principios de Liderazgo Organizacional, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00009.jpg,3,978-0-392-40758-8,35
10,Conceptos Clave de Liderazgo Organizacional,"Un texto didactico que aborda los principios de Liderazgo Organizacional, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00010.jpg,3,978-0-412-47826-0,6
11,Bases de Sistemas de Riego,"Un texto actualizado que aborda los principios de Sistemas de Riego, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00011.jpg,2,978-0-7506-0685-1,14
12,Guia Practica de Contabilidad Tributaria,"Un texto aplicado que aborda los principios de Contabilidad Tributaria, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00012.jpg,2,978-1-153-05152-1,10
13,Guia Practica de Gestion de la Calidad,"Un texto completo que aborda los principios de Gestion de la Calidad, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00013.jpg,2,978-0-472-77901-7,9
14,El Puente del mar,"Una historia que atrapa desde la primera pagina. La obra explora temas de identidad, perdida y esperanza. Los personajes enfrentan decisiones que cambiaran su destino para siempre.",https://covers.biblioteca.local/00014.jpg,1,978-1-328-98614-6,4
15,Infinito Corazon,Un texto imprescindible para comprender las tensiones de su tiempo. Un relato profundo sobre las relaciones humanas y el paso del tiempo.,https://covers.biblioteca.local/00015.jpg,1,978-1-103-69711-3,31
16,Conceptos Clave de Contabilidad Publica,"Un texto actualizado que aborda los principios de Contabilidad Publica, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00016.jpg,1,978-0-89324-609-9,15
17,Manual de Talento Humano,"Un texto actualizado que aborda los principios de Talento Humano, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00017.jpg,1,978-0-9621851-8-2,31
18,Fundamentos de Auditoria,"Un texto completo que aborda los principios de Auditoria, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00018.jpg,3,978-1-70654-051-9,6
19,Fundamentos de Nutricion Animal,"Un texto didactico que aborda los principios de Nutricion Animal, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00019.jpg,3,978-0-19-520585-5,38
20,Conceptos Clave de Comercio Internacional,"Un texto aplicado que aborda los principios de Comercio Internacional, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00020.jpg,1,978-1-72217-043-1,28
21,Fundamentos de Zootecnia,"Un texto completo que aborda los principios de Zootecnia, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00021.jpg,1,978-0-05-486874-0,15
22,Fundamentos de Planeacion Estrategica,"Un texto actualizado que aborda los principios de Planeacion Estrategica, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00022.jpg,3,978-0-450-54156-8,28
23,Arquitectura de Software para Profesionales,"Un texto riguroso que aborda los principios de Arquitectura de Software, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00023.jpg,1,978-1-65277-584-3,5
24,El Rio de silencio,Un texto imprescindible para comprender las tensiones de su tiempo. Una reflexion sobre la sociedad contemporanea contada con maestria.,https://covers.biblioteca.local/00024.jpg,1,978-1-169-28451-7,9
25,Gestion Empresarial para Profesionales,"Un texto actualizado que aborda los principios de Gestion Empresarial, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00025.jpg,1,978-1-4479-6275-5,23
26,Sistemas Operativos para Profesionales,"Un texto didactico que aborda los principios de Sistemas Operativos, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00026.jpg,3,978-0-596-40165-8,33
27,Manual de Contabilidad Publica,"Un texto completo que aborda los principios de Contabilidad Publica, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00027.jpg,2,978-0-297-02135-3,36
28,Algoritmos para Profesionales,"Un texto practico que aborda los principios de Algoritmos, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00028.jpg,2,978-1-909275-57-7,40
29,Talento Humano para Profesionales,"Un texto didactico que aborda los principios de Talento Humano, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00029.jpg,1,978-0-85654-310-4,20
30,Guia Practica de Agroecologia,"Un texto practico que aborda los principios de Agroecologia, dirigido a estudiantes y profesionales del area. Incluye ejemplos practicos, casos de estudio y ejercicios para reforzar el aprendizaje.",https://covers.biblioteca.local/00030.jpg,3,978-1-86814-473-0,26
